State,shootings
Alabama,95
Alaska,36
Arizona,222
Arkansas,73
California,701
Colorado,168
Connecticut,20
Delaware,10
District of Columbia,13
Florida,324
Georgia,161
Hawaii,29
Idaho,37
Illinois,99
Indiana,91
Iowa,31
Kansas,49
Kentucky,87
Louisiana,102
Maine,21
Maryland,77
Massachusetts,33
Michigan,71
Minnesota,60
Mississippi,61
Missouri,124
Montana,29
Nebraska,24
Nevada,85
New Hampshire,12
New Jersey,60
New Mexico,93
New York,90
North Carolina,148
North Dakota,11
Ohio,146
Oklahoma,151
Oregon,76
Pennsylvania,95
Rhode Island,4
South Carolina,80
South Dakota,14
Tennessee,125
Texas,426
Utah,58
Vermont,8
Virginia,92
Washington,126
West Virginia,46
Wisconsin,88
Wyoming,13
